Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,5b:ce:73:af:b2:23,TestPhone2,-66,8,0,76
2,0.001898100,7d:40:a6:df:72:73,TestPhone1,-33,8,0,76
3,0.002388500,46:d3:c4:59:80:40,TestPhone3,-38,8,0,76
4,0.020088100,49:1c:1b:26:88:b5,TestPhone4,-43,8,0,76
5,0.036897100,7d:40:a6:df:72:73,TestPhone1,-32,8,0,76
6,0.041139200,46:d3:c4:59:80:40,TestPhone3,-38,8,0,76
7,0.066251100,5b:ce:73:af:b2:23,TestPhone2,-66,8,0,76
8,0.071898100,7d:40:a6:df:72:73,TestPhone1,-33,8,0,76
9,0.081139000,46:d3:c4:59:80:40,TestPhone3,-38,8,0,76
10,0.082591100,49:1c:1b:26:88:b5,TestPhone4,-42,8,0,76
11,0.110649300,7d:40:a6:df:72:73,TestPhone1,-33,8,0,76
12,0.126254200,5b:ce:73:af:b2:23,TestPhone2,-65,8,0,76
13,0.152391600,46:d3:c4:59:80:40,TestPhone3,-38,8,0,76
14,0.163753500,5b:ce:73:af:b2:23,TestPhone2,-65,8,0,76
15,0.191343600,49:1c:1b:26:88:b5,TestPhone4,-43,8,0,76
16,0.195006100,5b:ce:73:af:b2:23,TestPhone2,-64,8,0,76
17,0.222392100,46:d3:c4:59:80:40,TestPhone3,-38,8,0,76
18,0.225095600,49:1c:1b:26:88:b5,TestPhone4,-42,8,0,76
19,0.231255700,5b:ce:73:af:b2:23,TestPhone2,-64,8,0,76
20,0.239401500,7d:40:a6:df:72:73,TestPhone1,-33,8,0,76
21,0.263846500,49:1c:1b:26:88:b5,TestPhone4,-43,8,0,76
22,0.265008600,5b:ce:73:af:b2:23,TestPhone2,-64,8,0,76
23,0.273152000,7d:40:a6:df:72:73,TestPhone1,-33,8,0,76
24,0.305009100,5b:ce:73:af:b2:23,TestPhone2,-64,8,0,76
25,0.308152000,7d:40:a6:df:72:73,TestPhone1,-33,8,0,76
26,0.333644100,46:d3:c4:59:80:40,TestPhone3,-39,8,0,76
