Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,49:1c:1b:26:88:b5,TestPhone4,-38,8,0,76
2,0.002611400,5b:ce:73:af:b2:23,,-61,8,0,76
3,0.031004700,7d:40:a6:df:72:73,TestPhone1,-38,8,0,76
4,0.049060800,46:d3:c4:59:80:40,TestPhone3,-44,8,0,76
5,0.072502700,49:1c:1b:26:88:b5,TestPhone4,-38,8,0,76
6,0.136007000,7d:40:a6:df:72:73,TestPhone1,-36,8,0,
7,0.138954400,06:3c:98:f1:d2:d9,,-84,,2,22
8,0.161385000,74:5c:4b:34:03:d8,\nab*aEv+lve 75e,-80,,0,
9,0.161895700,74:5c:4b:34:03:d8,,-78,,3,
10,0.162222000,74:5c:4b:34:03:d8,,-81,,4,
11,0.166009400,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
12,0.172506600,49:1c:1b:26:88:b5,TestPhone4,-38,8,0,76
13,0.177300400,47:28:c2:57:5e:b8,,-76,,3,
14,0.202260400,7d:40:a6:df:72:73,TestPhone1,-38,8,0,76
15,0.239763400,7d:40:a6:df:72:73,TestPhone1,-37,8,0,76
16,0.240315100,46:d3:c4:59:80:40,TestPhone3,-45,8,0,76
17,0.242100000,09:1d:00:0e:ff:1e,,-88,,3,
18,0.245007800,49:1c:1b:26:88:b5,TestPhone4,-38,8,0,76
19,0.279764400,7d:40:a6:df:72:73,TestPhone1,-38,8,0,76
20,0.312267000,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
21,0.341567200,46:d3:c4:59:80:40,TestPhone3,-52,8,0,76
22,0.345011300,49:1c:1b:26:88:b5,TestPhone4,-39,8,0,76
23,0.351017300,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
24,0.415320700,46:d3:c4:59:80:40,TestPhone3,-52,8,0,76
25,0.419768400,7d:40:a6:df:72:73,TestPhone1,-43,8,0,76
26,0.458521100,7d:40:a6:df:72:73,TestPhone1,-41,8,0,76
27,0.461827700,69:7f:67:be:7a:21,,-78,,3,
28,0.477821400,46:d3:c4:59:80:40,TestPhone3,-45,8,0,76
29,0.485014300,49:1c:1b:26:88:b5,TestPhone4,-38,8,0,76
30,0.488520700,7d:40:a6:df:72:73,TestPhone1,-40,8,0,76
31,0.517823500,46:d3:c4:59:80:40,TestPhone3,-45,8,0,76
32,0.522273500,7d:40:a6:df:72:73,TestPhone1,-41,8,0,76
33,0.552149300,15:3c:88:f1:d3:c1,,-86,,2,6
34,0.558524100,7d:40:a6:df:72:73,TestPhone1,-43,8,0,76
35,0.595324200,46:d3:c4:59:80:40,TestPhone3,-45,8,0,76
36,0.596026300,7d:40:a6:df:72:73,TestPhone1,-42,8,0,76
37,0.616266600,49:1c:1b:26:88:b5,TestPhone4,-39,8,0,76
38,0.631027400,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
39,0.632825900,46:d3:c4:59:80:40,TestPhone3,-48,8,0,76
40,0.697827900,46:d3:c4:59:80:40,TestPhone3,-45,8,0,76
41,0.723769900,49:1c:1b:26:88:b5,TestPhone4,-40,8,0,76
42,0.733531800,7d:40:a6:df:72:73,TestPhone1,-38,8,0,76
43,0.764078100,46:d3:c4:59:80:40,TestPhone3,-45,8,0,76
44,0.767282600,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
45,0.795021900,49:1c:1b:26:88:b5,TestPhone4,-40,8,0,76
46,0.806035600,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
47,0.832520600,49:1c:1b:26:88:b5,TestPhone4,-38,8,0,76
48,0.836580300,46:d3:c4:59:80:40,TestPhone3,-51,8,0,76
49,0.844786600,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
50,0.860328100,06:3c:98:91:92:c9,,-82,,2,32870
51,0.883539300,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
52,0.899081700,46:d3:c4:59:80:40,TestPhone3,-51,8,0,76
53,0.908775200,49:1c:1b:26:88:b5,TestPhone4,-38,8,0,76
54,0.917289700,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
55,0.952292800,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
56,0.965974400,38:7e:98:f1:d2:c9,,-76,,2,
57,0.975026700,49:1c:1b:26:88:b5,TestPhone4,-38,8,0,76
58,0.997833300,46:d3:c4:59:80:40,TestPhone3,-51,8,0,76
59,1.010028600,49:1c:1b:26:88:b5,TestPhone4,-38,8,0,76
60,1.040031100,49:1c:1b:26:88:b5,TestPhone4,-38,8,0,76
61,1.053544700,7d:40:a6:df:72:73,TestPhone1,-41,8,0,76
62,1.072836900,46:d3:c4:59:80:40,TestPhone3,-51,8,0,76
63,1.076283200,49:1c:1b:26:88:b5,TestPhone4,-38,8,0,76
64,1.091391400,5b:ce:73:af:b2:23,,-63,8,0,76
65,1.093548400,7d:40:a6:df:72:73,TestPhone1,-41,8,0,76
66,1.113784600,49:1c:1b:26:88:b5,TestPhone4,-38,8,0,76
67,1.133549300,7d:40:a6:df:72:73,TestPhone1,-42,8,0,76
68,1.139086700,46:d3:c4:59:80:40,TestPhone3,-51,8,0,76
69,1.145034400,49:1c:1b:26:88:b5,TestPhone4,-38,8,0,76
70,1.164801700,7d:40:a6:df:72:73,TestPhone1,-42,8,0,76
71,1.169128100,,,-81,,10,
72,1.176588800,46:d3:c4:59:80:40,TestPhone3,-52,8,0,76
73,1.185037900,49:1c:1b:26:88:b5,TestPhone4,-38,8,0,76
74,1.192646900,74:5c:4b:34:03:d8,Jabra Evolve 75e,-79,,0,
75,1.234804900,7d:40:a6:df:72:73,TestPhone1,-42,8,0,76
76,1.245340400,46:d3:c4:59:80:40,TestPhone3,-52,8,0,76
77,1.256290000,49:1c:1b:26:88:b5,TestPhone4,-38,8,0,76
78,1.320342000,46:d3:c4:59:80:40,TestPhone3,-52,8,0,76
79,1.341057400,7d:40:a6:df:72:73,TestPhone1,-40,8,0,76
80,1.370044000,49:1c:1b:26:88:b5,TestPhone4,-42,8,0,76
81,1.378557900,7d:40:a6:df:72:73,TestPhone1,-40,8,0,76
82,1.408560000,7d:40:a6:df:72:73,TestPhone1,-40,8,0,76
83,1.416594700,46:d3:c4:59:80:40,TestPhone3,-52,8,0,76
84,1.438796400,49:1c:1b:26:88:b5,TestPhone4,-41,8,0,76
85,1.443560700,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
86,1.476063000,7d:40:a6:df:72:73,TestPhone1,-40,8,0,76
87,1.477547900,49:1c:1b:26:88:b5,TestPhone4,-42,8,0,76
88,1.481595800,46:d3:c4:59:80:40,TestPhone3,-52,8,0,76
89,1.484808000,06:3c:98:f1:d2:c9,,-83,,2,6
90,1.508563400,7d:40:a6:df:72:73,TestPhone1,-40,8,0,76
91,1.512549300,49:1c:1b:26:88:b5,TestPhone4,-42,8,0,76
92,1.543566200,7d:40:a6:df:72:73,TestPhone1,-40,8,0,76
93,1.550050600,49:1c:1b:26:88:b5,TestPhone4,-40,8,0,76
94,1.590454400,06:3c:98:f1:d2:c9,,-83,,2,32774
95,1.622552100,49:1c:1b:26:88:b5,TestPhone4,-41,8,0,76
96,1.648568500,7d:40:a6:df:72:73,TestPhone1,-40,8,0,76
97,1.657552400,49:1c:1b:26:88:b5,TestPhone4,-41,8,0,76
98,1.683571400,7d:40:a6:df:72:73,TestPhone1,-40,8,0,76
99,1.718571900,7d:40:a6:df:72:73,TestPhone1,-40,8,0,76
100,1.722851500,46:d3:c4:59:80:40,TestPhone3,-45,8,0,76
101,1.730054800,49:1c:1b:26:88:b5,TestPhone4,-42,8,0,76
102,1.768806000,49:1c:1b:26:88:b5,TestPhone4,-42,8,0,76
103,1.784825300,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
104,1.787853100,46:d3:c4:59:80:40,TestPhone3,-44,8,0,76
105,1.799241000,06:3c:98:f1:d2:c9,,-83,,2,6
106,1.814827500,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
107,1.817854400,46:d3:c4:59:80:40,TestPhone3,-44,8,0,76
108,1.849828700,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
109,1.854105600,46:d3:c4:59:80:40,TestPhone3,-44,8,0,76
110,1.906752000,06:3c:98:f1:d2:d1,,-83,,2,6
111,1.912560200,49:1c:1b:26:88:b5,TestPhone4,-43,8,0,76
112,1.922330400,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
113,1.922857900,46:d3:c4:59:80:40,TestPhone3,-44,8,0,76
114,1.926416900,5b:ce:73:af:b2:23,,-63,8,0,76
115,1.942560400,49:1c:1b:26:88:b5,TestPhone4,-43,8,0,76
116,1.957859600,46:d3:c4:59:80:40,TestPhone3,-44,8,0,76
117,1.958581800,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
118,1.977561300,49:1c:1b:26:88:b5,TestPhone4,-43,8,0,76
119,1.994834100,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
120,2.008022100,06:3c:b9:f1:d2:d9,,-84,,2,
121,2.011311800,49:1c:1b:26:88:b5,TestPhone4,-43,8,0,76
122,2.017861400,46:d3:c4:59:80:40,TestPhone3,-49,8,0,76
123,2.031086700,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
124,2.071089200,7d:40:a6:df:72:73,TestPhone1,-38,8,0,76
125,2.089110500,46:d3:c4:59:80:40,TestPhone3,-49,8,0,76
126,2.091314800,49:1c:1b:26:88:b5,TestPhone4,-43,8,0,76
127,2.102340000,7d:40:a6:df:72:73,TestPhone1,-38,8,0,76
128,2.110542900,16:3c:18:f1:d4:c9,,-83,,2,6
129,2.130065700,49:1c:1b:26:88:b5,TestPhone4,-43,8,0,76
130,2.132341200,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
131,2.161612700,46:d3:c4:59:80:40,TestPhone3,-49,8,0,76
132,2.193817500,49:1c:1b:26:88:b5,TestPhone4,-43,8,0,76
133,2.197676400,5b:ce:73:af:b2:23,,-47,8,0,76
134,2.210555900,06:3c:98:f1:d2:d9,,-83,,2,6
135,2.237346500,7d:40:a6:df:72:73,TestPhone1,-38,8,0,76
136,2.263819800,49:1c:1b:26:88:b5,TestPhone4,-42,8,0,76
137,2.267347700,7d:40:a6:df:72:73,TestPhone1,-38,8,0,76
138,2.269116800,46:d3:c4:59:80:40,TestPhone3,-50,8,0,76
139,2.303599400,7d:40:a6:df:72:73,TestPhone1,-38,8,0,76
140,2.310573800,06:6c:98:f1:c2:c9,,-83,,2,6
141,2.336322100,49:1c:1b:26:88:b5,TestPhone4,-43,8,0,76
142,2.340368400,46:d3:c4:59:80:40,TestPhone3,-50,8,0,76
143,2.341100300,7d:40:a6:df:72:73,TestPhone1,-38,8,0,76
144,2.370073800,49:1c:1b:26:88:b5,TestPhone4,-42,8,0,76
145,2.374852100,7d:40:a6:df:72:73,TestPhone1,-38,8,0,76
146,2.379117900,46:d3:c4:59:80:40,TestPhone3,-50,8,0,76
147,2.404853200,7d:40:a6:df:72:73,TestPhone1,-38,8,0,76
148,2.411216600,06:3c:98:fd:92:d9,,-82,,2,6
149,2.436104900,7d:40:a6:df:72:73,TestPhone1,-38,8,0,76
150,2.446325400,49:1c:1b:26:88:b5,TestPhone4,-42,8,0,76
151,2.476435400,5b:ce:73:af:b2:23,,-62,8,0,76
152,2.477577000,49:1c:1b:26:88:b5,TestPhone4,-42,8,0,76
153,2.502356200,7d:40:a6:df:72:73,TestPhone1,-38,8,0,76
154,2.507577500,49:1c:1b:26:88:b5,TestPhone4,-42,8,0,76
155,2.511620500,46:d3:c4:59:80:40,TestPhone3,-51,8,0,76
156,2.536108500,7d:40:a6:df:72:73,TestPhone1,-38,8,0,76
157,2.569859300,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
158,2.580371700,46:d3:c4:59:80:40,TestPhone3,-51,8,0,76
159,2.602362000,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
160,2.618832600,49:1c:1b:26:88:b5,TestPhone4,-41,8,0,76
161,2.638612600,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
162,2.656333000,49:1c:1b:26:88:b5,TestPhone4,-41,8,0,76
163,2.678615700,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
164,2.686623500,46:d3:c4:59:80:40,TestPhone3,-51,8,0,76
165,2.687584000,49:1c:1b:26:88:b5,TestPhone4,-41,8,0,76
166,2.718616800,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
167,2.721624600,46:d3:c4:59:80:40,TestPhone3,-51,8,0,76
168,2.749869100,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
169,2.755374700,46:d3:c4:59:80:40,TestPhone3,-51,8,0,76
170,2.797588700,49:1c:1b:26:88:b5,TestPhone4,-41,8,0,76
171,2.826119400,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
172,2.831292200,06:7c:98:f1:d2:e9,,-83,,2,
173,2.857875200,46:d3:c4:59:80:40,TestPhone3,-51,8,0,76
174,2.864872900,7d:40:a6:df:72:73,TestPhofE,-35,8,0,
175,2.894872900,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
176,2.929128100,46:d3:c4:59:80:40,TestPhone3,-51,8,0,76
177,2.934875400,7d:40:a6:df:72:73,TestPhone1,-39,8,0,76
178,2.937592100,49:1c:1b:26:88:b5,TestPhone4,-40,8,0,76
179,2.966125700,7d:40:a6:df:72:73,TestPhone1,-40,8,0,76
180,2.994127700,46:d3:c4:59:80:40,TestPhone3,-51,8,0,76
181,3.003628500,7d:40:a6:df:72:73,TestPhone1,-40,8,0,76
182,3.037593700,49:1c:1b:26:88:b5,TestPhone4,-40,8,0,76
183,3.039879700,7d:40:a6:df:72:73,TestPhone1,-40,8,0,76
184,3.113848100,49:1c:1b:26:88:b5,TestPhone4,-40,8,0,76
185,3.139466400,06:3c:98:f1:c2:ca,,-84,,2,6
186,3.143633700,7d:40:a6:df:72:73,TestPhone1,-41,8,0,76
187,3.165381100,46:d3:c4:59:80:40,TestPhone3,-53,8,0,76
188,3.181136300,7d:40:a6:df:72:73,TestPhone1,-41,8,0,76
189,3.182600000,49:1c:1b:26:88:b5,TestPhone4,-42,8,0,76
190,3.218849400,49:1c:1b:26:88:b5,TestPhone4,-41,8,0,76
191,3.221137300,7d:40:a6:df:72:73,TestPhone1,-40,8,0,76
