Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,06:3c:98:f1:d2:c9,,-85,,2,6
2,0.005004000,06:3c:98:f1:d2:c9,,-80,,2,6
3,0.011975000,49:1c:1b:26:88:b5,TestPhone4,-62,8,0,76
4,0.017953000,49:1c:1b:26:88:b5,,-88,,3,
5,0.021945000,49:1c:1b:26:88:b5,,-62,,4,
6,0.024936000,49:1c:1b:26:88:b5,TestPhone4,-60,8,0,76
7,0.031916000,49:1c:1b:26:88:b5,TestPhone4,-60,8,0,76
8,0.035905000,5b:ce:73:af:b2:23,TestPhone2,-54,8,0,76
9,0.040892000,5b:ce:73:af:b2:23,,-88,,3,
10,0.046876000,5b:ce:73:af:b2:23,,-54,,4,
11,0.051863000,5b:ce:73:af:b2:23,TestPhone2,-56,8,0,76
12,0.055852000,5b:ce:73:af:b2:23,TestPhone2,-58,8,0,76
13,0.059842000,7d:40:a6:df:72:73,TestPhone1,-50,8,0,76
14,0.065826000,7d:40:a6:df:72:73,,-88,,3,
15,0.070825000,7d:40:a6:df:72:73,,-49,,4,
16,0.077054000,7d:40:a6:df:72:73,TestPhone1,-49,8,0,76
17,0.083779000,7d:40:a6:df:72:73,TestPhone1,-53,8,0,76
18,0.089763000,24:84:39:6f:eb:db,,-93,,2,6
19,0.095748000,46:d3:c4:59:80:40,TestPhone3,-41,8,0,76
20,0.100734000,46:d3:c4:59:80:40,TestPhone3,-43,8,0,76
21,0.105720000,7d:40:a6:df:72:73,TestPhone1,-48,8,0,76
22,0.109711000,7d:40:a6:df:72:73,,-87,,3,
23,0.115694000,7d:40:a6:df:72:73,,-49,,4,
24,0.119683000,7d:40:a6:df:72:73,TestPhone1,-49,8,0,76
25,0.122870000,7d:40:a6:df:72:73,TestPhone1,-53,8,0,76
26,0.127663000,49:1c:1b:26:88:b5,TestPhone4,-62,8,0,76
27,0.131653000,49:1c:1b:26:88:b5,,-87,,3,
28,0.135641000,49:1c:1b:26:88:b5,,-62,,4,
29,0.140655000,49:1c:1b:26:88:b5,TestPhone4,-60,8,0,76
30,0.146613000,49:1c:1b:26:88:b5,TestPhone4,-60,8,0,76
31,0.151600000,5b:ce:73:af:b2:23,TestPhone2,-54,8,0,76
32,0.155590000,5b:ce:73:af:b2:23,,-88,,3,
33,0.160576000,5b:ce:73:af:b2:23,,-54,,4,
34,0.164651000,5b:ce:73:af:b2:23,TestPhone2,-56,8,0,76
35,0.169552000,5b:ce:73:af:b2:23,TestPhone2,-58,8,0,76
36,0.174538000,06:3c:98:f1:d2:c9,,-78,,2,6
37,0.178534000,06:3c:98:f1:d2:c9,,-81,,2,6
38,0.183515000,06:3c:98:f1:d2:c9,,-82,,2,6
39,0.189499000,7d:40:a6:df:72:73,TestPhone1,-49,8,0,76
40,0.195483000,7d:40:a6:df:72:73,,-87,,3,
41,0.199473000,7d:40:a6:df:72:73,TestPhone1,-49,8,0,76
42,0.203476000,7d:40:a6:df:72:73,TestPhone1,-52,8,0,76
43,0.207451000,4a:ba:c8:9e:ec:40,,-87,,3,
44,0.211459000,49:1c:1b:26:88:b5,TestPhone4,-63,8,0,76
45,0.215432000,49:1c:1b:26:88:b5,TestPhone4,-60,8,0,76
46,0.219426000,46:d3:c4:59:80:40,TestPhone3,-40,8,0,76
47,0.225413000,46:d3:c4:59:80:40,TestPhone3,-41,8,0,76
48,0.229393000,46:d3:c4:59:80:40,TestPhone3,-46,8,0,76
49,0.234380000,5b:ce:73:af:b2:23,,-87,,3,
50,0.238369000,5b:ce:73:af:b2:23,TestPhone2,-56,8,0,76
51,0.242358000,5b:ce:73:af:b2:23,TestPhone2,-58,8,0,76
52,0.247345000,7d:40:a6:df:72:73,TestPhone1,-49,8,0,76
53,0.251334000,7d:40:a6:df:72:73,,-88,,3,
54,0.254326000,7d:40:a6:df:72:73,,-49,,4,
55,0.257318000,7d:40:a6:df:72:73,TestPhone1,-48,8,0,76
56,0.262306000,7d:40:a6:df:72:73,TestPhone1,-53,8,0,76
57,0.266299000,49:1c:1b:26:88:b5,TestPhone4,-62,8,0,76
58,0.271284000,49:1c:1b:26:88:b5,,-88,,3,
59,0.275273000,49:1c:1b:26:88:b5,,-62,,4,
60,0.280267000,49:1c:1b:26:88:b5,TestPhone4,-61,8,0,76
61,0.284250000,49:1c:1b:26:88:b5,TestPhone4,-60,8,0,76
62,0.287240000,06:3c:98:f1:d2:c9,,-75,,2,6
63,0.292228000,06:3c:98:f1:d2:c9,,-83,,2,6
64,0.296218000,06:3c:98:f1:d2:c9,,-84,,2,6
65,0.301205000,7d:40:a6:df:72:73,TestPhone1,-49,8,0,76
66,0.305248000,7d:40:a6:df:72:73,,-88,,3,
67,0.309184000,7d:40:a6:df:72:73,,-49,,4,
68,0.313174000,7d:40:a6:df:72:73,TestPhone1,-48,8,0,76
69,0.317162000,7d:40:a6:df:72:73,TestPhone1,-53,8,0,76
70,0.320154000,46:d3:c4:59:80:40,TestPhone3,-40,8,0,76
71,0.325463000,46:d3:c4:59:80:40,,-90,,3,
72,0.330128000,46:d3:c4:59:80:40,,-39,,4,
73,0.334117000,46:d3:c4:59:80:40,TestPhone3,-41,8,0,76
74,0.338106000,46:d3:c4:59:80:40,TestPhone3,-43,8,0,76
75,0.342096000,7d:40:a6:df:72:73,TestPhone1,-49,8,0,76
76,0.347083000,7d:40:a6:df:72:73,TestPhone1,-48,8,0,76
77,0.352070000,7d:40:a6:df:72:73,TestPhone1,-53,8,0,76
78,0.355100000,49:1c:1b:26:88:b5,TestPhone4,-62,8,0,76
79,0.359049000,49:1c:1b:26:88:b5,TestPhone4,-61,8,0,76
80,0.364037000,49:1c:1b:26:88:b5,TestPhone4,-60,8,0,76
81,0.368052000,47:28:c2:57:5e:b8,,-90,,3,
82,0.373096000,47:28:c2:57:5e:b8,,-87,12,0,76
83,0.376004000,47:28:c2:57:5e:b8,,-84,12,0,76
84,0.380992000,46:d3:c4:59:80:40,TestPhone3,-40,8,0,76
85,0.384185000,46:d3:c4:59:80:40,TestPhone3,-41,8,0,76
