Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,5b:ce:73:af:b2:23,TestPhone2,-61,8,0,76
2,0.005986000,5b:ce:73:af:b2:23,TestPhone2,-66,8,0,76
3,0.011964000,5b:ce:73:af:b2:23,TestPhone2,-63,8,0,76
4,0.014959000,46:d3:c4:59:80:40,TestPhone3,-53,8,0,76
5,0.018945000,46:d3:c4:59:80:40,TestPhone3,-50,8,0,76
6,0.025308000,46:d3:c4:59:80:40,TestPhone3,-51,8,0,76
7,0.028918000,49:1c:1b:26:88:b5,TestPhone4,-67,8,0,76
8,0.033921000,49:1c:1b:26:88:b5,TestPhone4,-72,8,0,76
9,0.041884000,49:1c:1b:26:88:b5,TestPhone4,-70,8,0,76
10,0.047869000,69:80:f9:33:3b:ee,TestPhone1,-48,8,0,76
11,0.053883000,69:80:f9:33:3b:ee,TestPhone1,-47,8,0,76
12,0.058871000,69:80:f9:33:3b:ee,TestPhone1,-51,8,0,76
13,0.064824000,39:c0:d9:e4:07:bf,,-90,,2,6
14,0.068812000,69:80:f9:33:3b:ee,TestPhone1,-47,8,0,76
15,0.073799000,69:80:f9:33:3b:ee,TestPhone1,-50,8,0,76
16,0.077788000,5b:ce:73:af:b2:23,TestPhone2,-62,8,0,76
17,0.081779000,5b:ce:73:af:b2:23,TestPhone2,-65,8,0,76
18,0.085769000,5b:ce:73:af:b2:23,TestPhone2,-62,8,0,76
19,0.091762000,46:d3:c4:59:80:40,TestPhone3,-51,8,0,76
20,0.096786000,46:d3:c4:59:80:40,TestPhone3,-51,8,0,76
21,0.101760000,46:d3:c4:59:80:40,TestPhone3,-52,8,0,76
22,0.107708000,49:1c:1b:26:88:b5,TestPhone4,-67,8,0,76
23,0.111721000,49:1c:1b:26:88:b5,TestPhone4,-71,8,0,76
24,0.116685000,49:1c:1b:26:88:b5,TestPhone4,-70,8,0,76
25,0.120674000,69:80:f9:33:3b:ee,TestPhone1,-47,8,0,76
26,0.125659000,69:80:f9:33:3b:ee,TestPhone1,-43,8,0,76
27,0.128652000,69:80:f9:33:3b:ee,TestPhone1,-50,8,0,76
28,0.132641000,06:3c:98:f1:d2:c9,,-83,,2,6
29,0.136630000,5b:ce:73:af:b2:23,TestPhone2,-64,8,0,76
30,0.140706000,5b:ce:73:af:b2:23,TestPhone2,-62,8,0,76
31,0.144803000,69:80:f9:33:3b:ee,TestPhone1,-48,8,0,76
32,0.148598000,69:80:f9:33:3b:ee,TestPhone1,-47,8,0,76
33,0.151590000,69:80:f9:33:3b:ee,TestPhone1,-46,8,0,76
34,0.155581000,46:d3:c4:59:80:40,TestPhone3,-51,8,0,76
35,0.158572000,46:d3:c4:59:80:40,TestPhone3,-51,8,0,76
36,0.162595000,46:d3:c4:59:80:40,TestPhone3,-52,8,0,76
37,0.166550000,49:1c:1b:26:88:b5,TestPhone4,-66,8,0,76
38,0.169594000,49:1c:1b:26:88:b5,,-73,,3,
39,0.173533000,49:1c:1b:26:88:b5,,-66,,4,
40,0.176524000,49:1c:1b:26:88:b5,TestPhone4,-71,8,0,76
41,0.180515000,49:1c:1b:26:88:b5,TestPhone4,-70,8,0,76
42,0.185500000,7f:8d:00:14:29:6d,,-73,,3,
43,0.189490000,69:80:f9:33:3b:ee,TestPhone1,-47,8,0,76
44,0.193479000,69:80:f9:33:3b:ee,TestPhone1,-52,8,0,76
45,0.196470000,47:28:f2:57:5e:b8,,-90,12,0,76
46,0.200460000,47:28:c2:57:5e:b8,,-86,12,0,76
47,0.205447000,44:28:c2:57:5e:b9,,-96,,0,76
48,0.210433000,5b:ce:73:af:b2:23,TestPhone2,-62,8,0,76
49,0.214424000,5b:ce:73:af:b2:23,TestPhone2,-65,8,0,76
