Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,59:bb:04:ce:5b:88,TestPhone2,-30,8,0,76
2,0.005951400,cb:00:60:79:7e:3c,,-21,,2,
3,0.008892700,20:45:a3:1d:5c:45,,-64,,2,6
4,0.012065200,0f:82:27:bb:84:f7,,-58,,2,6
5,0.014741800,01:ea:3a:98:5f:56,,-85,,2,
6,0.021836300,1a:fe:03:15:40:da,,-66,,2,6
7,0.022724600,17:3d:66:98:1c:c8,,-75,,2,6
8,0.045376800,39:9f:c7:f6:5a:30,,-63,,2,6
9,0.046296000,58:3b:e7:2b:fa:ad,,-33,8,0,76
10,0.048163400,77:91:5b:b2:9e:c5,TestPhone1,-31,,0,76
11,0.059427600,16:2b:50:4f:bd:e5,,-74,,2,6
12,0.065921900,3e:83:8c:d9:2b:97,,-75,,2,6
13,0.072252400,60:fc:20:5f:6f:af,TestPhone4,0,8,0,1100
14,0.089604100,34:32:3f:0c:4e:44,,-63,,2,6
15,0.094818900,65:b7:15:47:c6:48,,-36,12,0,76
16,0.102142400,25:bd:9d:7b:5d:c1,,-71,,2,6
17,0.112277700,61:89:7a:4e:60:31,,-66,,0,76
18,0.113952600,0f:82:27:bb:84:f7,,-58,,2,6
19,0.114416100,77:91:5b:b2:9e:c5,TestPhone1,-31,,0,76
20,0.122726900,17:3d:66:98:1c:c8,,-75,,2,6
21,0.128088600,1a:fe:03:15:40:da,,-66,,2,6
22,0.140004900,59:bb:04:ce:5b:88,TestPhone2,-29,8,0,76
23,0.146004400,60:fc:20:5f:6f:af,TestPhone4,-16,8,0,76
24,0.150379000,39:9f:c7:f6:5a:30,,-63,,2,6
25,0.166303600,16:2b:50:4f:bd:e5,,-73,,2,6
26,0.173443800,3e:83:8c:d9:2b:97,,-76,,2,6
27,0.179755300,60:fc:20:5f:6f:af,TestPhone4,-16,8,0,76
28,0.181917900,77:91:5b:b2:9e:c5,TestPhone1,-31,,0,76
29,0.192105800,34:32:3f:0c:4e:44,,-63,,2,6
30,0.204018900,25:bd:9d:7b:5d:c1,,-70,,2,6
31,0.206255600,59:bb:04:ce:5b:88,TestPhone2,-21,8,0,76
32,0.208454500,18:dd:8e:58:ae:76,,-74,,2,6
33,0.220223400,0f:82:27:bb:84:f7,,-61,,2,6
34,0.234340000,1a:fe:03:15:40:da,,-66,,2,6
35,0.236394400,7a:50:e9:5a:77:b9,,-62,12,0,76
36,0.237094600,07:40:8d:da:2c:ba,,-81,,2,6
37,0.241255800,59:bb:04:ce:5b:88,TestPhone2,-28,8,0,76
38,0.252258100,60:fc:20:5f:6f:af,TestPhone4,-10,8,0,76
39,0.258506000,39:9f:c7:f6:5a:30,,-63,,2,6
40,0.279715100,3e:83:8c:d9:2b:97,,-76,,2,6
41,0.290671300,77:91:5b:b2:9e:c5,TestPhone1,-32,,0,76
42,0.295858000,34:32:3f:0c:4e:44,,-63,,2,6
43,0.297283100,61:89:7a:4e:60:31,,-65,,0,76
44,0.309645600,24:ad:bd:3f:5d:55,,-64,,2,33794
45,0.311259900,59:bb:04:ce:5b:88,TestPhone2,-28,8,0,76
46,0.321010000,60:fc:20:5f:6f:af,TestPhone4,-10,8,0,76
47,0.321489600,0f:82:27:bb:84:f7,,-61,,2,6
48,0.329121500,1a:aa:3a:98:4f:15,,-82,,2,2054
49,0.332104500,17:3d:66:98:1c:c8,,-75,,2,6
50,0.341842300,1a:fe:03:15:40:da,,-67,,2,6
51,0.364424100,77:91:5b:b2:9e:c5,TestPhone1,-32,,0,76
52,0.366632700,39:9f:c7:f6:5a:30,,-63,,2,6
53,0.383181000,16:2b:50:4f:bd:e5,,-73,,2,6
54,0.386606500,3e:83:8c:d9:2b:97,,-75,,2,6
55,0.400859800,34:32:3f:0c:4e:44,,-63,,2,6
56,0.422512300,59:bb:04:ce:5b:88,TestPhone2,-28,8,0,76
57,0.425876700,0f:82:27:bb:84:f7,,0,,2,32774
58,0.426925900,77:91:5b:b2:9e:c5,TestPhone1,-32,,0,76
59,0.430373400,1a:aa:2a:98:4f:56,,-83,,2,6
60,0.441843900,1a:fe:03:15:40:da,,-66,,2,6
61,0.447762500,07:40:8d:da:2c:bb,,-79,,2,6
62,0.464427400,77:91:5b:b2:9e:c5,TestPhone1,-32,,0,76
63,0.474759700,39:9f:c7:f6:5a:30,,-63,,2,6
64,0.478538800,61:89:7a:4e:60:31,,-65,,0,76
65,0.486306500,16:2b:50:4f:bd:e5,,-74,,2,6
66,0.488763300,59:bb:04:ce:5b:88,TestPhone2,-29,8,0,76
67,0.492873400,3e:83:8c:d9:2b:97,,-75,,2,6
68,0.496016000,60:fc:20:5f:6f:af,TestPhone4,-21,8,0,76
69,0.501929000,77:91:5b:b2:9e:c5,TestPhone1,-33,,0,76
70,0.504612000,34:32:3f:0c:4e:44,,-63,,2,6
71,0.520958300,18:dd:8e:58:ae:76,,-73,,2,6
72,0.526017100,60:fc:20:5f:6f:af,TestPhone4,-28,8,0,76
73,0.532773400,0f:82:27:bb:84:f7,,-59,,2,6
74,0.535681000,77:91:5b:b2:9e:c5,TestPhone1,-35,,0,76
75,0.537732800,17:3d:66:98:1c:c8,,-76,,2,6
76,0.548094900,1a:fe:03:15:40:da,,-65,,2,6
77,0.555016600,59:bb:04:ce:5b:88,TestPhone2,-30,8,0,76
78,0.561018400,60:fc:20:5f:6f:af,TestPhone4,-29,8,0,76
79,0.565680800,77:91:5b:b2:9e:c5,TestPhone1,-34,,0,76
80,0.576638100,39:9f:c7:f6:5a:30,,-63,,2,6
81,0.586933100,16:2b:50:4f:bd:e5,,-73,,2,6
82,0.592517300,59:bb:04:ce:5b:88,TestPhone2,-30,8,0,76
83,0.595683500,77:91:5b:b2:9e:c5,TestPhone1,-36,,0,76
84,0.596308300,58:3b:e7:2b:fa:ad,,-39,8,0,76
85,0.599768300,60:fc:20:5f:6f:af,TestPhone4,-31,8,0,76
86,0.612739000,34:32:3f:0c:4e:44,,-63,,2,6
87,0.624025500,25:bd:9d:7b:5d:c1,,-69,,2,6
88,0.628184000,77:91:5b:b2:9e:c5,TestPhone1,-35,,0,76
89,0.631267300,59:bb:04:ce:5b:88,TestPhone2,-31,8,0,76
90,0.634814100,65:b7:15:47:c6:48,,-36,12,0,76
91,0.638337900,20:45:a3:1d:5c:45,,-63,,2,6
92,0.638984800,37:3d:66:98:1c:c8,,-76,,2,6
93,0.640919400,0f:82:27:bb:84:f7,,-57,,2,6
94,0.650597400,1a:fe:03:15:40:da,,-65,,2,6
95,0.659436000,77:91:5b:b2:9e:c5,TestPhone1,-36,,0,76
96,0.660931000,07:40:8d:da:28:fa,,-83,,2,
97,0.662294400,61:89:7a:4e:60:31,,-31,,0,76
98,0.676640400,39:9f:c7:f6:5a:30,,-63,,2,6
99,0.678521700,60:fc:20:5f:6f:af,TestPhone4,-32,8,0,76
100,0.696309200,16:2b:50:4f:bd:e5,,-74,,2,6
101,0.698186900,77:91:5b:b2:9e:c5,TestPhone1,-37,,0,76
102,0.702915600,3e:83:8c:d9:2b:97,,-76,,2,6
103,0.717115500,34:32:3f:0c:4e:44,,-63,,2,6
104,0.724026600,25:bd:9d:7b:5d:c1,,-69,,2,6
105,0.725019300,59:bb:04:ce:5b:88,TestPhone2,-32,8,0,76
106,0.730961600,18:dd:8e:58:ae:76,,-73,,2,6
107,0.735379800,3a:aa:3a:9e:4f:15,,-85,,4,22
108,0.738349500,20:45:a3:1d:5c:45,,-64,,2,6
109,0.741487100,13:3d:66:98:1c:c8,,-76,,2,6
110,0.746565800,0f:82:27:bb:84:f7,,-55,,2,6
111,0.758725100,1a:fe:03:15:40:da,,-65,,2,6
112,0.761271900,59:bb:04:ce:5b:88,TestPhone2,-32,8,0,76
113,0.782275500,60:fc:20:5f:6f:af,TestPhone4,-36,8,0,76
114,0.783903300,7a:50:e9:5a:77:b9,,-61,12,0,76
115,0.785392900,39:9f:c7:f6:5a:30,,-63,,2,6
116,0.798771600,59:bb:04:ce:5b:88,TestPhone2,-32,8,0,76
117,0.804185500,3e:83:8c:d9:2b:97,,-67,,2,6
118,0.815691000,77:91:5b:b2:9e:c5,TestPhone1,-38,,0,76
119,0.817277400,60:fc:20:5f:6f:af,TestPhone4,-36,8,0,76
120,0.819617900,34:32:3f:0c:4e:44,,-63,,2,6
121,0.826528700,25:bd:9d:7b:5d:c1,,-69,,2,6
122,0.828773100,59:bb:04:ce:5b:88,TestPhone2,-32,8,0,76
123,0.830657400,74:5c:4b:34:03:d8,Jabra Evolve 75e,-61,,0,
124,0.838985800,20:45:a3:1d:5c:45,,-62,,2,6
125,0.841631100,ed:aa:3a:98:4f:17,,-86,,2,
126,0.843550000,61:89:7a:4e:60:31,,-64,,0,76
127,0.843940800,61:89:7a:4e:60:31,,-36,,3,
128,0.847203000,0f:82:27:bb:84:f7,,-57,,2,6
129,0.850238400,17:3d:66:98:1c:c8,,-76,,2,6
130,0.851028600,60:fc:20:5f:6f:af,TestPhone4,-39,8,0,76
131,0.866227300,1a:fe:03:15:40:da,,-66,,2,6
132,0.867842500,07:40:8d:da:2c:ba,,-84,,2,6
133,0.870064700,58:3b:e7:2b:fa:ad,,-33,8,0,76
134,0.883192500,77:91:5b:b2:9e:c5,TestPhone1,-38,,0,76
135,0.891644500,39:9f:c7:f6:5a:30,,-63,,2,6
136,0.897523800,59:bb:04:ce:5b:88,TestPhone2,-32,8,0,76
137,0.904811500,65:b7:15:47:c6:48,,-37,12,0,76
138,0.907560300,16:2b:50:4f:bd:e5,,-71,,2,6
139,0.930280200,25:bd:9d:7b:5d:c1,,-68,,2,6
140,0.948464800,18:dd:8e:58:ae:76,,-74,,2,6
141,0.950694300,77:91:5b:b2:9e:c5,TestPhone1,-38,,0,76
142,0.955345800,0f:82:27:bb:84:f7,,-58,,2,6
143,0.957280300,60:fc:20:5f:6f:af,TestPhone4,-36,8,0,76
144,0.962524400,59:bb:04:ce:5b:88,TestPhone2,-31,8,0,76
145,0.963042600,59:bb:04:ce:5b:88,,-54,,3,
146,0.963368500,59:bb:04:ce:5b:88,,-31,,4,
147,0.966228900,1a:fe:03:15:40:da,,-65,,2,6
148,0.985695300,77:91:5b:b2:9e:c5,TestPhone1,-38,,0,76
149,0.986221400,77:91:5b:b2:9e:c5,,-54,,3,
150,0.986548100,77:91:5b:b2:9e:c5,,-39,,4,
151,0.991646700,39:9f:c7:f6:5a:30,,-63,,2,6
152,1.012973500,3e:83:8c:d9:2b:97,,-67,,2,6
153,1.017239000,64:16:7f:b8:71:ef,,-83,,2,76
154,1.022122000,34:32:3f:0c:4e:44,,-63,,2,6
155,1.024805400,61:89:7a:4e:60:31,,-64,,0,76
156,1.025195500,61:89:7a:4e:60:31,,-54,,3,
157,1.032526500,59:bb:04:ce:5b:88,TestPhone2,-31,8,0,76
158,1.034781700,60:fc:20:5f:6f:af,TestPhone4,-36,8,0,76
159,1.035299900,60:fc:20:5f:6f:af,,-54,,3,
160,1.035626800,60:fc:20:5f:6f:af,,-36,,4,
161,1.052760200,20:45:a3:1d:5c:45,,-66,,2,6
