Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,2a:e4:51:97:4a:e3,,-83,,2,6
2,0.002985000,2a:e4:51:97:4a:e3,,-79,,2,6
3,0.009977000,60:f2:5d:e6:eb:a5,TestPhone2,-53,8,0,76
4,0.015953000,60:f2:5d:e6:eb:a5,TestPhone2,-45,8,0,76
5,0.020937000,60:f2:5d:e6:eb:a5,TestPhone2,-46,8,0,76
6,0.024927000,15:59:5f:51:a6:cd,,-85,,2,6
7,0.030910000,15:59:5f:51:a6:cd,,-87,,2,6
8,0.035897000,15:59:5f:51:a6:cd,,-90,,2,6
9,0.038904000,15:1e:70:00:84:a2,,-76,,2,6
10,0.045870000,15:1e:70:00:84:a2,,-80,,2,6
11,0.050857000,15:1e:70:00:84:a2,,-72,,2,6
12,0.054847000,77:91:5b:b2:9e:c5,TestPhone1,-39,,0,76
13,0.060832000,77:91:5b:b2:9e:c5,TestPhone1,-33,,0,76
14,0.065821000,77:91:5b:b2:9e:c5,TestPhone1,-42,,0,76
15,0.070809000,16:2b:50:4f:bd:e5,,-72,,2,6
16,0.075790000,16:2b:50:4f:bd:e5,,-74,,2,6
17,0.080776000,16:2b:50:4f:bd:e5,,-75,,2,6
18,0.085763000,1c:31:a5:4d:8e:ba,,-81,,2,6
19,0.089752000,1c:31:a5:4d:8e:ba,,-70,,2,6
20,0.095738000,1c:31:a5:4d:8e:ba,,-79,,2,6
21,0.100724000,07:40:8d:da:2c:ba,,-80,,2,6
22,0.104713000,2b:ec:0e:7d:94:ef,,-79,,2,6
23,0.108703000,2b:ec:0e:7d:94:ef,,-79,,2,6
24,0.112691000,06:b1:71:f9:79:b1,,-72,,2,6
25,0.115683000,06:b1:71:f9:79:b1,,-64,,2,6
26,0.120670000,06:b1:71:f9:79:b1,,-65,,2,6
27,0.124659000,77:91:5b:b2:9e:c5,TestPhone1,-38,,0,76
28,0.129805000,77:91:5b:b2:9e:c5,TestPhone1,-33,,0,76
29,0.133635000,77:91:5b:b2:9e:c5,TestPhone1,-42,,0,76
30,0.138622000,61:89:7a:4e:60:31,,-69,,0,76
31,0.142612000,61:89:7a:4e:60:31,,-68,,0,76
32,0.146601000,61:89:7a:4e:60:31,,-69,,0,76
33,0.150591000,65:b7:15:47:c6:48,,-48,12,0,76
34,0.153582000,65:b7:15:47:c6:48,,-46,12,0,76
35,0.157571000,65:b7:15:47:c6:48,,-39,12,0,76
36,0.161561000,60:f2:5d:e6:eb:a5,TestPhone2,-53,8,0,76
37,0.166547000,60:f2:5d:e6:eb:a5,TestPhone2,-45,8,0,76
38,0.170536000,60:f2:5d:e6:eb:a5,TestPhone2,-48,8,0,76
39,0.174526000,05:37:3d:ec:7e:d6,,-79,,2,6
40,0.179513000,05:37:3d:ec:7e:d6,,-82,,2,6
41,0.183502000,05:37:3d:ec:7e:d6,,-89,,2,6
42,0.186494000,77:91:5b:b2:9e:c5,TestPhone1,-39,,0,76
43,0.190483000,77:91:5b:b2:9e:c5,TestPhone1,-33,,0,76
44,0.193475000,77:91:5b:b2:9e:c5,TestPhone1,-41,,0,76
45,0.197464000,5d:55:fd:9d:be:14,TestPhone4,-36,8,0,76
46,0.202452000,5d:55:fd:9d:be:14,TestPhone4,-41,8,0,76
47,0.206441000,5d:55:fd:9d:be:14,TestPhone4,-40,8,0,76
48,0.210430000,3e:83:8c:d9:2b:97,,-91,,2,6
49,0.213422000,7a:50:e9:5a:77:b9,,-62,12,0,76
50,0.216747000,7a:50:e9:5a:77:b9,,-67,12,0,76
51,0.219406000,15:59:5f:51:a6:cd,,-86,,2,6
52,0.223396000,15:59:5f:51:a6:cd,,-88,,2,6
53,0.226387000,15:59:5f:51:a6:cd,,-89,,2,6
54,0.229869000,15:1e:70:00:84:a2,,-76,,2,6
55,0.232371000,15:1e:70:00:84:a2,,-80,,2,6
56,0.235364000,15:1e:70:00:84:a2,,-71,,2,6
57,0.238355000,77:91:5b:b2:9e:c5,TestPhone1,-40,,0,76
58,0.242345000,77:91:5b:b2:9e:c5,TestPhone1,-33,,0,76
59,0.245336000,77:91:5b:b2:9e:c5,TestPhone1,-42,,0,76
60,0.248328000,16:2b:50:4f:bd:e5,,-72,,2,6
61,0.251322000,16:2b:50:4f:bd:e5,,-74,,2,6
62,0.254314000,16:2b:50:4f:bd:e5,,-75,,2,6
63,0.257304000,1c:31:a5:4d:8e:ba,,-81,,2,6
64,0.260310000,1c:31:a5:4d:8e:ba,,-70,,2,6
65,0.263316000,1c:31:a5:4d:8e:ba,,-79,,2,6
66,0.266280000,3e:2e:da:ad:c3:a0,,-80,,2,6
67,0.270270000,3e:2e:da:ad:c3:a0,,-74,,2,6
68,0.274259000,3e:2e:da:ad:c3:a0,,-85,,2,6
69,0.277251000,07:40:8d:da:2c:ba,,-80,,2,6
70,0.281241000,60:f2:5d:e6:eb:a5,TestPhone2,-48,8,0,76
71,0.285388000,60:f2:5d:e6:eb:a5,TestPhone2,-48,8,0,76
72,0.288262000,77:91:5b:b2:9e:c5,TestPhone1,-39,,0,76
73,0.291282000,77:91:5b:b2:9e:c5,TestPhone1,-33,,0,76
74,0.294205000,77:91:5b:b2:9e:c5,TestPhone1,-42,,0,76
75,0.297207000,05:37:3d:ec:7e:d6,,-79,,2,6
76,0.301187000,05:37:3d:ec:7e:d6,,-81,,2,6
77,0.305178000,05:37:3d:ec:7e:d6,,-89,,2,6
78,0.309168000,77:91:5b:b2:9e:c5,TestPhone1,-39,,0,76
79,0.313168000,77:91:5b:b2:9e:c5,TestPhone1,-33,,0,76
80,0.317144000,77:91:5b:b2:9e:c5,TestPhone1,-42,,0,76
81,0.322132000,2a:e4:51:97:4a:e3,,-79,,2,6
82,0.326120000,2a:e4:51:97:4a:e3,,-83,,2,6
83,0.330110000,2a:e4:51:97:4a:e3,,-80,,2,6
84,0.333155000,15:1e:70:00:84:a2,,-76,,2,6
85,0.336144000,15:1e:70:00:84:a2,,-80,,2,6
86,0.340084000,15:1e:70:00:84:a2,,-71,,2,6
87,0.344073000,77:91:5b:b2:9e:c5,TestPhone1,-39,,0,76
88,0.348069000,77:91:5b:b2:9e:c5,TestPhone1,-33,,0,76
89,0.352063000,77:91:5b:b2:9e:c5,TestPhone1,-42,,0,76
90,0.355043000,15:59:5f:51:a6:cd,,-86,,2,6
91,0.359034000,16:2b:50:4f:bd:e5,,-74,,2,6
92,0.364019000,16:2b:50:4f:bd:e5,,-75,,2,6
93,0.366052000,61:89:7a:4e:60:31,,-69,,0,76
94,0.369017000,61:89:7a:4e:60:31,,-68,,0,76
95,0.372057000,61:89:7a:4e:60:31,,-68,,0,76
96,0.374989000,,,-98,,3,
97,0.378979000,1c:31:a5:4d:8e:ba,,-80,,2,6
98,0.381986000,1c:31:a5:4d:8e:ba,,-70,,2,6
99,0.385132000,1c:31:a5:4d:8e:ba,,-80,,2,6
100,0.388952000,07:40:8d:da:2c:ba,,-80,,2,6
101,0.392945000,07:40:8d:da:2c:ba,,-90,,2,6
102,0.396934000,2b:ec:0e:7d:94:ef,,-78,,2,6
103,0.400921000,60:f2:5d:e6:eb:a5,TestPhone2,-53,8,0,76
104,0.405012000,60:f2:5d:e6:eb:a5,TestPhone2,-46,8,0,76
105,0.408900000,60:f2:5d:e6:eb:a5,TestPhone2,-44,8,0,76
106,0.414925000,5d:55:fd:9d:be:14,TestPhone4,-37,8,0,76
107,0.419869000,5d:55:fd:9d:be:14,TestPhone4,-43,8,0,76
108,0.424856000,5d:55:fd:9d:be:14,TestPhone4,-35,8,0,76
109,0.430840000,05:37:3d:ec:7e:d6,,-80,,2,6
110,0.436824000,05:37:3d:ec:7e:d6,,-82,,2,6
111,0.440815000,05:37:3d:ec:7e:d6,,-93,,2,6
112,0.445805000,77:91:5b:b2:9e:c5,TestPhone1,-38,,0,76
113,0.449819000,77:91:5b:b2:9e:c5,TestPhone1,-33,,0,76
114,0.451930000,77:91:5b:b2:9e:c5,TestPhone1,-42,,0,76
115,0.455784000,2a:e4:51:97:4a:e3,,-79,,2,6
116,0.459763000,2a:e4:51:97:4a:e3,,-84,,2,6
117,0.464940000,2a:e4:51:97:4a:e3,,-80,,2,6
118,0.467878000,15:1e:70:00:84:a2,,-78,,2,6
119,0.470739000,15:1e:70:00:84:a2,,-80,,2,6
120,0.474725000,15:1e:70:00:84:a2,,-71,,2,6
121,0.479709000,60:f2:5d:e6:eb:a5,TestPhone2,-53,8,0,76
122,0.484696000,60:f2:5d:e6:eb:a5,TestPhone2,-47,8,0,76
123,0.489685000,60:f2:5d:e6:eb:a5,TestPhone2,-45,8,0,76
124,0.493673000,15:59:5f:51:a6:cd,,-86,,2,6
125,0.497662000,15:59:5f:51:a6:cd,,-88,,2,6
126,0.501650000,15:59:5f:51:a6:cd,,-89,,2,6
127,0.505647000,77:91:5b:b2:9e:c5,TestPhone1,-40,,0,76
128,0.509663000,77:91:5b:b2:9e:c5,TestPhone1,-33,,0,76
129,0.514616000,77:91:5b:b2:9e:c5,TestPhone1,-42,,0,76
130,0.519603000,5d:55:fd:9d:be:14,TestPhone4,-36,8,0,76
131,0.523598000,5d:55:fd:9d:be:14,TestPhone4,-41,8,0,76
132,0.528579000,5d:55:fd:9d:be:14,TestPhone4,-40,8,0,76
133,0.533581000,16:2b:50:4f:bd:e5,,-72,,2,6
134,0.537563000,16:2b:50:4f:bd:e5,,-75,,2,6
135,0.540655000,16:2b:50:4f:bd:e5,,-75,,2,6
136,0.545851000,65:b7:15:47:c6:48,,-48,12,0,76
137,0.549525000,65:b7:15:47:c6:48,,-46,12,0,76
138,0.552520000,65:b7:15:47:c6:48,,-39,12,0,76
139,0.556505000,3e:2e:da:ad:c3:a0,,-80,,2,6
140,0.560494000,3e:2e:da:ad:c3:a0,,-75,,2,6
141,0.566508000,3e:2e:da:ad:c3:a0,,-89,,2,6
142,0.570467000,07:40:8d:da:2c:ba,,-79,,2,6
143,0.574470000,65:de:21:a9:05:85,,-66,12,0,76
144,0.579444000,65:de:21:a9:05:85,,-49,12,0,76
145,0.584429000,06:b1:71:f9:79:b1,,-69,,2,6
146,0.589416000,06:b1:71:f9:79:b1,,-64,,2,6
147,0.595403000,06:b1:71:f9:79:b1,,-66,,2,6
148,0.601384000,55:49:ac:a3:9c:e6,,-89,12,0,76
149,0.604375000,55:49:ac:a2:1c:e6,,-84,12,0,76
150,0.607626000,55:49:ac:a2:1c:e6,,-88,12,0,76
151,0.612354000,60:f2:5d:e6:eb:a5,TestPhone2,-53,8,0,76
152,0.616344000,60:f2:5d:e6:eb:a5,TestPhone2,-47,8,0,76
153,0.620333000,60:f2:5d:e6:eb:a5,TestPhone2,-41,8,0,76
154,0.624322000,5d:55:fd:9d:be:14,TestPhone4,-36,8,0,76
155,0.629310000,5d:55:fd:9d:be:14,TestPhone4,-43,8,0,76
156,0.633298000,5d:55:fd:9d:be:14,TestPhone4,-42,8,0,76
157,0.636291000,7a:50:e9:5a:77:b9,,-59,12,0,76
158,0.639297000,7a:50:e9:5a:77:b9,,-63,12,0,76
159,0.643272000,7a:50:e9:5a:77:b9,,-71,12,0,76
160,0.648259000,77:91:5b:b2:9e:c5,TestPhone1,-40,,0,76
161,0.655240000,77:91:5b:b2:9e:c5,TestPhone1,-33,,0,76
162,0.659229000,77:91:5b:b2:9e:c5,TestPhone1,-42,,0,76
163,0.663219000,2a:e4:51:97:4a:e3,,-78,,2,6
164,0.667215000,2a:e4:51:97:4a:e3,,-83,,2,6
165,0.670201000,2a:e4:51:97:4a:e3,,-80,,2,6
166,0.673226000,61:89:7a:4e:60:31,,-70,,0,76
167,0.675297000,61:89:7a:4e:60:31,,-70,,0,76
168,0.678178000,61:89:7a:4e:60:31,,-68,,0,76
169,0.680209000,15:1e:70:00:84:a2,,-83,,2,6
170,0.682301000,15:1e:70:00:84:a2,,-81,,2,6
171,0.684295000,15:1e:70:00:84:a2,,-71,,2,6
172,0.686742000,77:91:5b:b2:9e:c5,TestPhone1,-38,,0,76
173,0.689187000,77:91:5b:b2:9e:c5,TestPhone1,-33,,0,76
174,0.692141000,77:91:5b:b2:9e:c5,TestPhone1,-42,,0,76
175,0.696173000,5d:55:fd:9d:be:14,TestPhone4,-36,8,0,76
176,0.700120000,5d:55:fd:9d:be:14,TestPhone4,-43,8,0,76
177,0.703111000,5d:55:fd:9d:be:14,TestPhone4,-39,8,0,76
178,0.707143000,60:f2:5d:e6:eb:a5,TestPhone2,-52,8,0,76
179,0.711340000,60:f2:5d:e6:eb:a5,TestPhone2,-44,8,0,76
180,0.716077000,60:f2:5d:e6:eb:a5,TestPhone2,-46,8,0,76
181,0.720073000,3e:2e:da:ad:c3:a0,,-80,,2,6
182,0.723058000,3e:2e:da:ad:c3:a0,,-74,,2,6
183,0.727050000,06:b1:71:f9:79:b1,,-66,,2,6
184,0.731037000,2b:ec:0e:7d:94:ef,,-68,,2,6
185,0.733067000,2b:ec:0e:7d:94:ef,,-82,,2,6
186,0.736024000,2b:ec:0e:7d:94:ef,,-81,,2,6
187,0.739052000,77:91:5b:b2:9e:c5,TestPhone1,-40,,0,76
188,0.742009000,77:91:5b:b2:9e:c5,TestPhone1,-33,,0,76
189,0.745030000,77:91:5b:b2:9e:c5,TestPhone1,-42,,0,76
190,0.747993000,05:37:3d:ec:7e:d6,,-78,,2,6
191,0.751993000,05:37:3d:ec:7e:d6,,-82,,2,6
192,0.754974000,05:37:3d:ec:7e:d6,,-91,,2,6
