Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,61:21:c4:f7:2c:a9,TestPhone1,-41,8,0,76
2,0.016316700,69:2f:63:05:37:29,TestPhone4,-36,8,0,76
3,0.020714700,35:ca:84:ab:08:86,,-42,,2,6
4,0.021662100,0e:76:27:2e:a9:3e,,-62,,2,6
5,0.025261600,47:ee:6f:13:89:a8,TestPhone2,-47,8,0,76
6,0.030957700,1b:bf:ab:8c:9e:db,,-40,,2,6
7,0.042429700,15:a2:20:fc:ff:8d,,-63,,2,6
8,0.051838000,69:2f:63:05:37:29,,-75,,3,
9,0.052165100,69:2f:63:05:37:29,,-36,,4,
10,0.055945500,52:74:b5:d2:61:ea,,-83,,0,76
11,0.061512800,47:ee:6f:13:89:a8,TestPhone2,-49,8,0,76
12,0.063750800,61:21:c4:f7:2c:a9,TestPhone1,-41,8,0,76
13,0.076250000,11:ba:ec:b4:5d:56,,-75,,2,6
14,0.077580100,07:41:8b:3d:eb:9e,,-70,,2,6
15,0.088820000,69:2f:63:05:37:29,TestPhone4,-36,8,0,76
16,0.093352000,79:18:bb:42:de:98,TestPhone3,-44,8,0,76
17,0.093870800,79:18:bb:42:de:98,,-76,,3,
18,0.094197100,79:18:bb:42:de:98,,-44,,4,
19,0.110699900,64:16:7f:b9:bd:39,,-80,,0,76
20,0.111099000,64:16:7f:b9:bd:39,,-75,,3,
21,0.111412100,62:5e:37:51:ef:21,,-62,12,0,76
22,0.116660300,73:b2:f8:64:fa:e7,,-49,,0,76
23,0.117186900,73:b2:f8:64:fa:e7,,-75,,3,
24,0.117515200,73:b2:f8:64:fa:e7,,-48,,4,
25,0.120715000,35:ca:84:ab:08:86,,-70,,2,6
26,0.121319900,69:2f:63:05:37:29,TestPhone4,-36,8,0,76
27,0.125412600,0e:76:27:2e:a9:3e,,-62,,2,6
28,0.139013100,47:ee:6f:13:89:a8,TestPhone2,-50,8,0,76
29,0.140332800,1b:bf:ab:8c:9e:db,,-75,,2,6
30,0.143679000,15:a2:20:fc:ff:8d,,-64,,2,6
31,0.153200100,c8:d0:83:be:6a:03,,-81,12,0,76
32,0.153941100,c8:d0:83:be:6a:03,,-81,,4,
33,0.154806000,09:42:39:91:98:5f,,-76,,2,76
34,0.156582500,77:5d:60:cd:33:53,\b,-89,,2,
35,0.160072400,69:2f:63:05:37:29,TestPhone4,-35,8,0,76
36,0.160590700,69:2f:63:05:37:29,,-73,,3,
37,0.160917300,69:2f:63:05:37:29,,-36,,4,
38,0.166252400,61:21:c4:f7:2c:a9,TestPhone1,-41,8,0,76
39,0.166770700,61:21:c4:f7:2c:a9,,-76,,3,
40,0.167097100,61:21:c4:f7:2c:a9,,-41,,4,
41,0.167301100,48:d8:07:cb:11:9e,,-70,,0,
42,0.174450100,17:71:6e:7d:f9:7e,,-81,,2,76
43,0.180704700,07:41:8b:3d:eb:9e,,-71,,2,6
44,0.182050700,64:16:7f:b8:71:ef,,-30,,0,76
45,0.185000200,11:ba:ec:b4:5d:56,,-75,,2,6
46,0.190072900,69:2f:63:05:37:29,TestPhone4,-36,8,0,76
47,0.202101200,79:18:bb:42:de:98,TestPhone3,-43,8,0,76
48,0.206513300,47:ee:6f:13:89:a8,TestPhone2,-50,8,0,76
49,0.214766600,4e:cf:da:b9:1b:23,,-79,,0,
50,0.227589700,35:ca:84:ab:08:86,,-70,,2,6
51,0.234163500,0e:76:27:2e:a9:3e,,-60,,2,6
52,0.236253600,61:21:c4:f7:2c:a9,TestPhone1,-38,8,0,76
53,0.246803700,15:a2:20:fc:ff:8d,,-64,,2,6
54,0.251513600,0e:7a:e1:f4:21:2b,,-75,,2,6
55,0.266253300,61:21:c4:f7:2c:a9,TestPhone1,-41,8,0,76
56,0.272101500,79:18:bb:42:de:98,TestPhone3,-43,8,0,76
57,0.274014400,47:ee:6f:13:89:a8,TestPhone2,-50,8,0,76
58,0.275817500,,,-76,,14,
59,0.283204400,07:41:8b:3d:eb:9e,,-72,,2,6
60,0.286323000,69:2f:63:05:37:29,TestPhone4,-37,8,0,76
61,0.288750700,11:ba:ec:b4:5d:56,,-76,,2,6
62,0.297910200,73:b2:f8:64:fa:e7,,-45,,0,76
63,0.298437300,73:b2:f8:64:fa:e7,,-75,,3,
64,0.298765300,73:b2:f8:64:fa:e7,,-45,,4,
65,0.300003900,61:21:c4:f7:2c:a9,TestPhone1,-41,8,0,76
66,0.300522400,61:21:c4:f7:2c:a9,,-75,,3,
67,0.300849000,61:21:c4:f7:2c:a9,,-41,,4,
68,0.321324600,69:2f:63:05:37:29,TestPhone4,-37,8,0,76
69,0.323851000,4a:46:e0:ca:9f:a4,,-80,,0,
70,0.325941600,52:74:35:d2:60:ea,,-82,,0,76
71,0.332589700,35:ca:84:ab:08:86,,-68,,2,6
72,0.333754600,61:21:c4:f7:2c:a9,TestPhone1,-42,8,0,76
73,0.334273700,61:21:c4:f7:2c:a9,,-81,,3,
74,0.337300600,09:42:39:91:98:5f,,-76,,2,76
75,0.338197000,c8:d0:83:be:6a:03,,-43,,0,
76,0.338870600,79:18:bb:42:de:98,,-81,,3,
77,0.343538600,0e:76:27:2e:a9:3e,,-62,,2,6
78,0.349804200,c8:d0:83:cb:11:9e,,-76,12,0,76
79,0.352390700,64:10:c9:59:9e:45,,-77,,0,76
80,0.355553400,15:a2:20:fc:ff:8d,,-64,,2,6
81,0.355956500,1b:bf:ab:8c:9e:db,,-75,,2,6
82,0.358388600,0e:7a:e1:f4:21:2b,,-75,,2,6
83,0.361324100,69:2f:63:05:37:29,TestPhone4,-38,8,0,76
84,0.361843400,69:2f:63:05:37:29,,-76,,3,
85,0.362170200,69:2f:63:05:37:29,,-38,,4,
86,0.373755700,61:21:c4:f7:2c:a9,TestPhone1,-41,8,0,76
87,0.374274300,61:21:c4:f7:2c:a9,,-76,,3,
