Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,52:74:35:52:60:ea,,-82,,0,
2,0.001241800,72:b8:f4:df:ca:07,TestPhone4,-49,8,0,76
3,0.006049600,31:db:62:df:06:a8,,-70,,2,6
4,0.012644900,61:21:c4:f7:2c:a9,TestPhone1,-51,8,0,76
5,0.013576500,0a:bf:e2:3f:db:8f,,-65,,2,6
6,0.014632200,47:ee:6f:13:89:a8,TestPhone2,-39,8,0,76
7,0.033427000,0b:fa:61:e5:74:0c,,-61,,2,6
8,0.035691000,21:d4:6d:da:f9:c2,,-75,,2,6
9,0.042645000,61:21:c4:f7:2c:a9,TestPhone1,-51,8,0,76
10,0.044938500,21:d5:79:0b:d0:12,,-75,,2,6
11,0.045881800,47:ee:6f:13:89:a8,TestPhone2,-43,8,0,76
12,0.046400700,47:ee:6f:13:89:a8,,-75,,3,
13,0.048666000,68:cc:0d:e0:7b:be,TestPhone3,-46,8,0,76
14,0.054366500,c8:d0:83:be:6a:03,,-81,12,0,76
15,0.055107500,c8:d0:83:be:6a:03,,-81,,4,
16,0.076241500,72:b8:f4:df:ca:07,TestPhone4,-46,8,0,76
17,0.079916000,68:cc:0d:e0:7b:be,TestPhone3,-48,8,0,76
18,0.080988400,0b:e9:ad:c4:61:0d,,-77,,2,6
19,0.081725000,24:93:90:41:50:c0,,-69,,2,6
20,0.082646600,61:21:c4:f7:2c:a9,TestPhone1,-51,8,0,76
21,0.094616900,09:42:39:91:98:5f,,-76,,2,76
22,0.100617500,14:71:6e:7d:f9:7e,,-82,,2,76
23,0.103367400,c8:d0:83:cb:11:9e,,-76,12,0,76
24,0.107924100,31:db:62:df:06:a8,,-71,,2,6
25,0.114992000,72:b8:f4:df:ca:07,TestPhone4,-45,8,0,76
26,0.115510600,72:b8:f4:df:ca:07,,-75,,3,
27,0.115836800,4e:99:d4:df:ce:83,,-39,,4,
28,0.120976700,54:71:84:69:ae:94,,-83,,0,
29,0.122326000,0a:bf:e2:3f:db:8f,,-64,,2,6
30,0.135454300,64:16:7f:4f:5e:91,,-82,,0,12
