Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,79:18:bb:42:de:98,TestPhone3,-45,8,0,76
2,0.004881000,79:18:bb:42:de:98,TestPhone3,-49,8,0,76
3,0.009762000,35:ca:84:ab:08:86,,-79,,2,6
4,0.015617000,35:ca:84:ab:08:86,,-85,,2,6
5,0.020502000,35:ca:84:ab:08:86,,-82,,2,6
6,0.025378000,64:16:7f:b8:7c:cc,,-73,,0,76
7,0.031235000,64:16:7f:b8:7c:cc,,-69,,0,76
8,0.035138000,64:16:7f:b8:7c:cc,,-64,,0,76
9,0.040019000,79:18:bb:42:de:98,TestPhone3,-49,8,0,76
10,0.044898000,79:18:bb:42:de:98,TestPhone3,-44,8,0,76
11,0.049778000,79:18:bb:42:de:98,TestPhone3,-49,8,0,76
12,0.052704000,61:21:c4:f7:2c:a9,TestPhone1,-51,8,0,76
13,0.056624000,61:21:c4:f7:2c:a9,TestPhone1,-54,8,0,76
14,0.061489000,61:21:c4:f7:2c:a9,TestPhone1,-67,8,0,76
15,0.065393000,69:2f:63:05:37:29,TestPhone4,-51,8,0,76
16,0.070273000,69:2f:63:05:37:29,TestPhone4,-53,8,0,76
17,0.075152000,69:2f:63:05:37:29,TestPhone4,-41,8,0,76
18,0.079057000,3f:3d:d5:ae:6d:46,,-95,,2,4
19,0.082962000,27:4a:ef:45:38:fc,,-93,,2,76
20,0.087841000,0e:76:27:2e:a9:3e,,-65,,2,6
21,0.091745000,61:21:c4:f7:2c:a9,TestPhone1,-51,8,0,76
22,0.096638000,61:21:c4:f7:2c:a9,TestPhone1,-54,8,0,76
23,0.100529000,61:21:c4:f7:2c:a9,TestPhone1,-63,8,0,76
24,0.104432000,62:5e:37:51:ef:21,,-54,12,0,76
25,0.107361000,62:5e:37:51:ef:21,,-62,12,0,76
26,0.111265000,62:5e:37:51:ef:21,,-63,12,0,76
27,0.115169000,09:42:39:91:98:5f,,-89,,2,76
28,0.119073000,09:42:39:91:98:5f,,-92,,2,76
29,0.123953000,09:42:39:91:98:5f,,-83,,2,76
30,0.128834000,0e:7a:e1:f4:21:2b,,-82,,2,6
31,0.132737000,0e:7a:e1:f4:21:2b,,-86,,2,6
32,0.135665000,0e:7a:e1:f4:21:2b,,-85,,2,6
33,0.138593000,15:22:21:3c:ff:8d,,-76,,2,
34,0.141521000,15:a2:20:fc:ff:8d,,-73,,2,6
35,0.145425000,84:f7:9f:4e:9b:80,,-78,,5,
36,0.147377000,61:21:c4:f7:2c:a9,TestPhone1,-51,8,0,76
37,0.150307000,61:21:c4:f7:2c:a9,TestPhone1,-54,8,0,76
38,0.154209000,61:21:c4:f7:2c:a9,TestPhone1,-62,8,0,76
39,0.157137000,79:18:bb:42:de:98,TestPhone3,-49,8,0,76
40,0.160065000,79:18:bb:42:de:98,TestPhone3,-47,8,0,76
41,0.163969000,79:18:bb:42:de:98,TestPhone3,-49,8,0,76
42,0.166897000,64:10:c9:59:9e:45,,-85,,0,76
43,0.169825000,64:10:c9:59:9e:45,,-82,,0,76
44,0.172754000,64:10:c9:59:9e:45,,-80,,0,76
45,0.175682000,17:71:6c:7d:f9:7e,,-94,,2,
46,0.178608000,17:71:6e:7d:f9:7e,,-84,,2,76
47,0.181538000,17:71:6e:7d:f9:7e,,-87,,2,76
48,0.185441000,69:2f:63:05:37:29,TestPhone4,-49,8,0,76
49,0.188369000,69:2f:63:05:37:29,TestPhone4,-54,8,0,76
50,0.193250000,69:2f:63:05:37:29,TestPhone4,-47,8,0,76
51,0.196177000,47:ee:6f:13:89:a8,TestPhone2,-51,8,0,76
52,0.200082000,47:ee:6f:13:89:a8,TestPhone2,-58,8,0,76
53,0.203009000,47:ee:6f:13:89:a8,TestPhone2,-55,8,0,76
54,0.205937000,0e:76:27:2e:a9:3e,,-66,,2,6
55,0.208865000,0e:76:27:2e:a9:3e,,-68,,2,6
56,0.212769000,0e:76:27:2e:a9:3e,,-65,,2,6
57,0.215697000,1b:bf:ab:8c:9e:db,,-86,,2,6
58,0.220578000,1b:bf:ab:8c:9e:db,,-89,,2,6
59,0.225458000,1b:bf:ab:8c:9e:db,,-84,,2,6
60,0.228386000,07:41:8b:3d:eb:9e,,-78,,2,6
61,0.231313000,07:41:8b:3d:eb:9e,,-84,,2,6
62,0.233264000,07:41:8b:3d:eb:9e,,-73,,2,6
63,0.236195000,15:a2:20:fc:ff:8d,,-76,,2,6
