Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,0b:fa:61:e5:74:0c,,-68,,2,6
2,0.006834000,0b:fa:61:e5:74:0c,,-65,,2,6
3,0.009759000,61:21:c4:f7:2c:a9,TestPhone1,-60,8,0,76
4,0.014643000,61:21:c4:f7:2c:a9,TestPhone1,-55,8,0,76
5,0.020496000,61:21:c4:f7:2c:a9,TestPhone1,-53,8,0,76
6,0.023424000,35:ca:84:ab:08:86,,-80,,2,6
7,0.026352000,35:ca:84:ab:08:86,,-85,,2,6
8,0.028305000,35:ca:84:ab:08:86,,-80,,2,6
9,0.032207000,72:b8:f4:df:ca:07,TestPhone4,-50,8,0,76
10,0.036113000,72:b8:f4:df:ca:07,TestPhone4,-46,8,0,76
11,0.040015000,72:b8:f4:df:ca:07,TestPhone4,-52,8,0,76
12,0.043923000,47:ee:6f:13:89:a8,TestPhone2,-48,8,0,76
13,0.047825000,47:ee:6f:13:89:a8,TestPhone2,-46,8,0,76
14,0.051735000,47:ee:6f:13:89:a8,TestPhone2,-49,8,0,76
15,0.055631000,07:41:8b:3d:eb:9e,,-78,,2,6
16,0.058560000,07:41:8b:3d:eb:9e,,-84,,2,6
17,0.062464000,07:41:8b:3d:eb:9e,,-72,,2,6
18,0.065393000,61:21:c4:f7:2c:a9,TestPhone1,-60,8,0,76
19,0.070272000,61:21:c4:f7:2c:a9,TestPhone1,-54,8,0,76
20,0.073199000,61:21:c4:f7:2c:a9,TestPhone1,-55,8,0,76
21,0.076128000,15:a2:20:fc:ff:8d,,-75,,2,6
22,0.079059000,15:a2:20:fc:ff:8d,,-74,,2,6
23,0.081983000,15:a2:20:fc:ff:8d,,-90,,2,6
24,0.085887000,79:18:bb:42:de:98,,-81,,3,
25,0.090769000,79:18:bb:42:de:98,TestPhone3,-48,8,0,76
26,0.094672000,79:18:bb:42:de:98,TestPhone3,-49,8,0,76
27,0.099556000,0b:e9:ad:c4:61:0d,,-91,,2,6
28,0.104433000,0b:e9:ad:c4:61:0d,,-84,,2,6
29,0.107361000,0b:e9:ad:c4:61:0d,,-85,,2,6
30,0.110289000,21:d5:79:0b:d0:12,,-88,,2,6
31,0.112241000,79:18:bb:42:de:98,TestPhone3,-48,8,0,76
