Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,52:74:35:d2:60:ea,,-79,,0,76
2,0.009676100,0e:aa:7f:f0:11:36,,-76,,6,
3,0.011174700,c9:d0:83:be:6a:83,,-80,12,0,76
4,0.014067100,43:1f:ca:a7:df:08,TestPhone1,-49,8,0,76
5,0.014585500,43:1f:ca:a7:df:08,,-50,,3,
6,0.014912600,43:1f:ca:a7:df:08,,-49,,4,
7,0.017608300,78:57:fc:1a:cf:62,TestPhone4,-21,8,0,76
8,0.018070900,7a:ae:73:88:02:ee,Tes4Phone,-38,8,0,
9,0.019360500,73:1a:84:da:b7:2c,,-73,,0,76
10,0.022819400,30:4e:71:f0:2e:bc,,-72,,2,6
11,0.025522400,43:3b:bd:d8:dc:84,TestPhone2,-37,8,0,76
12,0.026040300,43:3b:bd:d8:dc:84,,-51,,3,
13,0.026367500,43:3b:bd:d8:dc:84,,-37,,4,
14,0.027317500,3d:48:67:51:99:5b,,-57,,2,6
15,0.047607700,78:57:fc:1a:cf:62,TestPhone4,-21,8,0,76
16,0.048125900,78:57:fc:1a:cf:62,,-51,,3,
17,0.048452800,78:57:fc:1a:cf:62,,-21,,4,
18,0.049068100,43:1f:ca:a7:df:08,TestPhone1,-49,8,0,76
19,0.049913100,43:1f:ca:a7:df:08,,-49,,4,
20,0.050571500,7a:ae:73:88:12:ee,TestPhone3,-42,8,0,76
21,0.051089700,7a:ae:73:88:12:ee,,-51,,3,
22,0.051416700,7a:ae:73:88:12:ee,,-43,,4,
23,0.054082200,62:5e:37:51:ef:21,,-39,12,0,76
24,0.054504300,62:5e:37:51:ef:21,,-52,,3,
25,0.054832100,62:5e:37:51:ef:21,,-39,,4,
26,0.056033800,39:ad:9d:41:82:dc,,-68,,2,6
27,0.065238000,c8:d0:83:cb:11:9e,,-80,12,0,76
28,0.072327200,30:0b:a3:7d:84:5c,,-72,,2,6
29,0.073339400,0b:9f:45:f1:18:91,,-79,,2,6
30,0.080570000,7a:ae:73:88:12:ee,TestPhone3,-42,8,0,76
31,0.081088600,7a:ae:73:88:12:ee,,-52,,3,
32,0.081415300,7a:ae:73:88:12:ee,,-42,,4,
33,0.082609700,78:57:fc:1a:cf:62,TestPhone4,-21,8,0,76
34,0.083127700,78:57:fc:1a:cf:62,,-52,,3,
35,0.083454700,78:57:fc:1a:cf:62,,-21,,4,
36,0.083989700,09:42:39:91:98:5f,,-80,,2,76
37,0.087819300,43:1f:ca:a7:df:08,TestPhone1,-49,8,0,76
38,0.088337100,43:1f:ca:a7:df:08,,-52,,3,
39,0.088664000,43:1f:ca:a7:df:08,,-49,,4,
40,0.091296200,5d:e2:e4:5b:37:40,,-81,12,0,76
