Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,65:1d:20:38:ce:c9,TestPhone4,-37,8,0,76
2,0.004880000,65:1d:20:38:ce:c9,TestPhone4,-36,8,0,76
3,0.007810000,65:1d:20:38:ce:c9,TestPhone4,-39,8,0,76
4,0.010746000,72:70:f7:1e:e2:bb,TestPhone3,-54,8,0,76
5,0.016603000,72:70:f7:1e:e2:bb,TestPhone3,-54,8,0,76
6,0.019520000,72:70:f7:1e:e2:bb,TestPhone3,-51,8,0,76
7,0.022450000,07:cd:e2:2f:91:05,,-76,,2,6
8,0.025377000,07:cd:e2:2f:91:05,,-77,,2,6
9,0.029281000,07:cd:e2:2f:91:05,,-71,,2,6
10,0.033185000,16:50:e0:53:3b:bf,,-79,,2,6
11,0.036113000,16:50:e0:53:3b:bf,,-68,,2,6
12,0.039039000,16:50:e0:53:3b:bf,,-72,,2,6
13,0.041969000,60:eb:c6:9b:3b:72,TestPhone2,-49,8,0,76
14,0.044897000,60:eb:c6:9b:3b:72,TestPhone2,-47,8,0,76
15,0.048800000,60:eb:c6:9b:3b:72,TestPhone2,-40,8,0,76
16,0.051729000,37:27:13:28:f7:99,,-90,,2,6
17,0.056612000,14:01:2a:23:0e:f8,,-91,,2,6
18,0.059536000,14:01:2a:23:0e:f8,,-86,,2,6
19,0.063441000,c8:d0:83:be:6a:03,,-84,12,0,76
20,0.066370000,c8:d0:83:be:6a:03,,-88,12,0,76
21,0.070273000,65:1d:20:38:ce:c9,TestPhone4,-40,8,0,76
22,0.073201000,60:eb:c6:9b:3b:72,TestPhone2,-46,8,0,76
23,0.076128000,60:eb:c6:9b:3b:72,TestPhone2,-46,8,0,76
24,0.079057000,60:eb:c6:9b:3b:72,TestPhone2,-40,8,0,76
25,0.081985000,72:70:f7:1e:e2:bb,TestPhone3,-46,8,0,76
26,0.085888000,72:70:f7:1e:e2:bb,TestPhone3,-48,8,0,76
27,0.089794000,72:70:f7:1e:e2:bb,TestPhone3,-49,8,0,76
28,0.092721000,12:a8:36:97:eb:be,,-86,,2,6
29,0.095649000,12:a8:36:97:eb:be,,-78,,2,6
30,0.097601000,12:a8:36:97:eb:be,,-80,,2,6
31,0.100529000,2a:06:87:67:a1:f0,,-80,,2,6
32,0.102481000,2a:06:87:67:a1:f0,,-82,,2,6
33,0.104433000,2a:06:87:67:a1:f0,,-76,,2,6
34,0.106385000,60:eb:c6:9b:3b:72,TestPhone2,-48,8,0,76
35,0.108337000,60:eb:c6:9b:3b:72,TestPhone2,-46,8,0,76
36,0.111265000,60:eb:c6:9b:3b:72,TestPhone2,-40,8,0,76
37,0.114193000,74:fe:08:36:84:c6,,-87,12,0,76
38,0.116145000,74:fe:08:36:84:c6,,-89,12,0,76
39,0.118097000,74:fe:08:36:84:c6,,-85,12,0,76
40,0.120049000,07:cd:e2:2f:91:05,,-75,,2,6
41,0.122001000,07:cd:e2:2f:91:05,,-77,,2,6
42,0.123953000,07:cd:e2:2f:91:05,,-72,,2,6
43,0.125905000,16:50:e0:53:3b:bf,,-79,,2,6
44,0.127857000,16:50:e0:53:3b:bf,,-68,,2,6
45,0.131761000,16:50:e0:53:3b:bf,,-72,,2,6
46,0.134690000,60:eb:c6:9b:3b:72,TestPhone2,-47,8,0,76
47,0.137618000,60:eb:c6:9b:3b:72,TestPhone2,-45,8,0,76
48,0.139568000,60:eb:c6:9b:3b:72,TestPhone2,-42,8,0,76
49,0.142496000,4a:46:e0:ca:9f:a4,,-86,12,0,76
50,0.144448000,6c:94:a5:c7:85:4d,,-92,,0,76
51,0.147376000,14:01:2a:23:0e:f8,,-86,,2,6
52,0.150304000,37:27:13:28:f7:99,,-90,,2,6
53,0.152257000,70:ad:d5:a1:94:96,TestPhone1,-45,8,0,76
54,0.154208000,70:ad:d5:a1:94:96,TestPhone1,-49,8,0,76
55,0.157138000,60:eb:c6:9b:3b:72,TestPhone2,-48,8,0,76
56,0.160065000,60:eb:c6:9b:3b:72,,-88,,3,
57,0.162016000,60:eb:c6:9b:3b:72,,-48,,4,
58,0.163968000,60:eb:c6:9b:3b:72,TestPhone2,-46,8,0,76
59,0.166896000,60:eb:c6:9b:3b:72,TestPhone2,-45,8,0,76
60,0.168848000,71:20:7a:32:c3:54,,-89,,0,76
61,0.170800000,71:20:7a:32:c3:54,,-81,,0,76
62,0.173728000,71:20:7a:32:c3:54,,-86,,0,76
63,0.176656000,65:1d:20:38:ce:c9,TestPhone4,-38,8,0,76
64,0.178608000,65:1d:20:38:ce:c9,TestPhone4,-36,8,0,76
65,0.181536000,65:1d:20:38:ce:c9,TestPhone4,-40,8,0,76
66,0.183488000,53:92:26:f2:00:a1,,-75,8,0,76
67,0.185440000,53:92:26:f2:00:a1,,-73,8,0,76
68,0.188368000,53:92:26:f2:02:e1,,-78,41,0,460
69,0.191296000,2a:06:87:67:a1:f0,,-80,,2,6
70,0.193247000,2a:06:87:67:a1:f0,,-82,,2,6
71,0.196176000,2a:06:87:67:a1:f0,,-76,,2,6
72,0.199104000,0c:6f:1f:49:07:38,,-84,,2,6
73,0.202032000,0c:6f:1f:49:07:38,,-85,,2,6
74,0.203984000,0c:6f:1f:49:07:38,,-89,,2,6
75,0.206913000,2a:1f:fe:78:4b:b1,,-76,,2,6
76,0.208865000,2a:1f:fe:78:4b:b1,,-75,,2,6
77,0.211793000,2a:1f:fe:78:4b:b1,,-85,,2,6
78,0.213745000,6e:8a:9a:c8:f3:fe,,-75,12,0,76
79,0.215697000,6e:8a:9a:c8:f3:fe,,-77,12,0,76
80,0.218625000,6e:8a:9a:c8:f3:fe,,-77,12,0,76
81,0.220577000,65:1d:20:38:ce:c9,TestPhone4,-40,8,0,76
82,0.222529000,65:1d:20:38:ce:c9,TestPhone4,-35,8,0,76
83,0.224481000,65:1d:20:38:ce:c9,TestPhone4,-37,8,0,76
84,0.226433000,72:70:f7:1e:e2:bb,TestPhone3,-43,8,0,76
85,0.228385000,72:70:f7:1e:e2:bb,TestPhone3,-45,8,0,76
86,0.230337000,72:70:f7:1e:e2:bb,TestPhone3,-55,8,0,76
87,0.232289000,16:50:e0:53:3b:bf,,-78,,2,6
88,0.234241000,16:50:e0:53:3b:bf,,-68,,2,6
89,0.236193000,16:50:e0:53:3b:bf,,-72,,2,6
90,0.239121000,47:bd:8e:f7:62:f9,,-55,12,0,76
91,0.241074000,47:bd:8e:f7:62:f9,,-49,12,0,76
92,0.244001000,47:bd:8e:f7:62:f9,,-51,12,0,76
93,0.245953000,70:ad:d5:a1:94:96,TestPhone1,-42,8,0,76
94,0.248881000,70:ad:d5:a1:94:96,TestPhone1,-45,8,0,76
95,0.250833000,70:ad:d5:a1:94:96,TestPhone1,-49,8,0,76
96,0.253760000,60:eb:c6:9b:3b:72,TestPhone2,-50,8,0,76
97,0.255713000,60:eb:c6:9b:3b:72,TestPhone2,-45,8,0,76
98,0.257665000,60:eb:c6:9b:3b:72,TestPhone2,-42,8,0,76
99,0.260593000,c8:d0:83:be:6a:03,,-84,12,0,76
100,0.263521000,c8:d0:83:be:6a:03,,-88,12,0,76
101,0.265473000,65:1d:20:38:ce:c9,TestPhone4,-39,8,0,76
