Frame,Time,Source,DeviceName,RSSI,Tx Power,PDU Type,Company
1,0.000000000,40:99:c7:e5:77:10,TestPhone1,-57,8,0,76
2,0.013072000,29:a7:c8:93:d9:7d,,-79,,2,6
3,0.014210300,5e:72:c3:05:70:34,TestPhone4,-45,8,0,76
4,0.022404500,28:dc:c0:3e:47:70,,-75,,2,76
5,0.033749600,40:99:c7:e5:77:10,TestPhone1,-57,8,0,76
6,0.044181100,7c:ad:68:4d:38:db,TestPhone3,-50,8,0,76
7,0.047084300,2d:9b:ed:71:71:df,,-77,,2,6
8,0.050461400,5e:72:c3:05:70:34,TestPhone4,-45,8,0,76
9,0.055832500,fc:0e:06:05:01:09,,-81,,5,
10,0.058043600,41:8f:92:1e:e1:23,TestPhone2,-45,8,0,76
11,0.063751500,40:99:c7:e5:77:10,TestPhone1,-57,8,0,76
12,0.065954500,68:5d:9d:59:3f:35,,-84,,2,
13,0.068868500,43:65:2e:1c:69:02,,-85,,3,
14,0.084804500,07:5d:6a:a7:2e:79,,-75,,2,6
15,0.085469700,62:5e:37:51:ef:21,,-43,12,0,76
16,0.089242800,0f:e1:6d:39:18:76,,-86,,2,
17,0.090459800,5e:72:c3:05:70:34,TestPhone4,-45,8,0,76
18,0.092098800,20:ab:18:4f:33:e9,,-78,,2,6
19,0.100001800,40:99:c7:e5:77:10,TestPhone1,-55,8,0,76
20,0.113090700,29:a7:c8:93:d9:7d,,-79,,2,6
21,0.115432500,7c:ad:68:4d:38:db,TestPhone3,-50,8,0,76
22,0.116142100,88:78:1f:10:a6:cb,,-87,,2,
23,0.124294100,41:8f:92:1e:e1:23,TestPhone2,-45,8,0,76
24,0.131152500,90:dd:5d:e7:87:26,,-75,12,0,76
25,0.137504200,40:99:c7:e5:77:10,TestPhone1,-57,8,0,76
26,0.151682500,7c:ad:68:4d:38:db,TestPhone3,-51,8,0,76
27,0.155833700,2d:9b:ed:71:71:df,,-75,,2,6
28,0.160488200,4f:84:c1:6d:25:bb,,-79,,0,
29,0.194209800,5e:6c:c3:05:70:34,,-39,,0,
30,0.197118300,20:ab:18:4f:33:e9,,-77,,2,6
31,0.204904900,28:dc:c0:3e:47:70,,-74,,2,76
32,0.217392100,93:7a:bf:10:3e:fa,,-84,,0,
33,0.225457300,5e:72:c3:05:70:34,TestPhone4,-45,8,0,76
34,0.234294500,41:8f:92:1e:e1:23,TestPhone2,-45,8,0,76
35,0.245003700,40:99:c7:e5:77:10,TestPhone1,-57,8,0,76
36,0.259208300,5e:72:c3:05:70:34,TestPhone4,-45,8,0,76
37,0.260834100,2d:9b:ed:71:71:df,,-77,,2,6
38,0.283755400,40:99:c7:e5:77:10,TestPhone1,-57,8,0,76
39,0.287314600,07:5d:6a:a7:2e:79,,-77,,2,6
40,0.296682600,7c:ad:68:4d:38:db,TestPhone3,-50,8,0,76
41,0.297324000,,,-86,,10,
42,0.299207100,5e:72:c3:05:70:34,TestPhone4,-45,8,0,76
43,0.299632200,20:ab:18:4f:33:e9,,-80,,2,6
44,0.306108500,18:8b:97:5f:13:15,,-81,,2,76
45,0.309293100,41:8f:92:1e:e1:23,TestPhone2,-45,8,0,76
46,0.313649200,90:dd:5d:e7:87:26,,-73,12,0,76
47,0.321140000,80:78:bf:10:be:fb,,-57,,0,
48,0.324376700,29:a7:c8:93:d9:7d,,-79,,2,6
49,0.332958300,5e:72:c3:05:70:34,TestPhone4,-45,8,0,76
50,0.336682800,7c:ad:68:4d:38:db,TestPhone3,-50,8,0,76
51,0.339295200,41:8f:92:1e:e1:23,TestPhone2,-47,8,0,76
52,0.352507600,40:99:c7:e5:77:10,TestPhone1,-58,8,0,76
53,0.355476800,62:5e:37:51:ef:21,,-42,12,0,76
54,0.367957100,5e:72:c3:05:70:34,TestPhone4,-45,8,0,76
55,0.374294200,41:8f:92:1e:e1:23,TestPhone2,-45,8,0,76
56,0.387320500,07:5d:6a:a7:2e:79,,-76,,2,6
57,0.388647000,28:dc:c0:3e:47:70,,-73,,2,76
58,0.391259100,40:99:c7:e5:77:10,TestPhone1,-58,8,0,76
59,0.397958300,5e:72:c3:05:70:34,TestPhone4,-45,8,0,76
60,0.402932300,7c:ad:68:4d:38:db,TestPhone3,-51,8,0,76
61,0.404218000,a4:d7:e4:12:81:31,,-86,,2,
62,0.405276800,20:a3:18:4f:33:e9,,-79,,2,6
63,0.416745500,4f:84:c1:6d:25:bb,,-79,,0,
